ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
25,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149608626,149608829,149611286,149611463,25,28,0,,,80,75,,,1,,,ENSG00000269556
165,ENSG00000100109.16,TFIP11,chr22,-,26501899,26502094,26501899,26502052,26503665,26503793,165,2,42,,,117,75,,,0.03,,,ENSG00000100109
166,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26511118,26511195,166,9,0,,,110,75,,,1,,,ENSG00000100109
167,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510692,26512098,26512175,167,10,0,,,85,75,,,1,,,ENSG00000100109
168,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26511118,26511153,26512098,26512175,168,5,0,,,117,75,,,1,,,ENSG00000100109
169,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511153,26512098,26512175,169,5,0,,,150,75,,,1,,,ENSG00000100109
170,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511195,26512098,26512175,170,5,2,,,150,75,,,0.556,,,ENSG00000100109
330,ENSG00000101391.20,CDK5RAP1,chr20,-,33366858,33367008,33366858,33367005,33370498,33370629,330,63,0,,,78,75,,,1,,,ENSG00000101391
1296,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911343,49927693,49927815,1296,0,0,,,98,75,,,,,,ENSG00000213024
1297,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911231,49927693,49927848,1297,4,0,,,150,75,,,1,,,ENSG00000213024
1298,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929325,49929465,1298,10,4,,,108,75,,,0.635,,,ENSG00000213024
1299,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929349,49929763,1299,7,0,,,108,75,,,1,,,ENSG00000213024
1300,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929416,49929504,1300,7,1,,,108,75,,,0.829,,,ENSG00000213024
1353,ENSG00000090905.18,TNRC6A,chr16,+,24805604,24805733,24805673,24805733,24805013,24805151,1353,95,2,,,144,75,,,0.961,,,ENSG00000090905
1440,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668150,668236,1440,54,7,,,80,75,,,0.879,,,ENSG00000140983
1441,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668655,668699,668352,668411,1441,103,0,,,150,75,,,1,,,ENSG00000140983
1442,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668658,668699,668352,668411,1442,114,3,,,150,75,,,0.95,,,ENSG00000140983
1443,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668352,668411,1443,11,3,,,78,75,,,0.779,,,ENSG00000140983
1444,ENSG00000140983.13,RHOT2,chr16,+,670248,670357,670265,670357,670122,670175,1444,104,22,,,92,75,,,0.794,,,ENSG00000140983
1445,ENSG00000140983.13,RHOT2,chr16,+,670888,671000,670891,671000,670674,670773,1445,3,99,,,78,75,,,0.028,,,ENSG00000140983
1446,ENSG00000140983.13,RHOT2,chr16,+,671082,671203,671114,671203,670891,671000,1446,88,5,,,107,75,,,0.925,,,ENSG00000140983
1658,ENSG00000103994.16,ZNF106,chr15,-,42439032,42439813,42439032,42439552,42442072,42442414,1658,41,9,,,150,75,,,0.695,,,ENSG00000103994
1724,ENSG00000108799.12,EZH1,chr17,-,42706006,42706185,42706006,42706113,42707957,42708083,1724,199,2,,,147,75,,,0.981,,,ENSG00000108799
2239,ENSG00000076108.11,BAZ2A,chr12,-,56600942,56601098,56600942,56601086,56601179,56601402,2239,118,8,,,87,75,,,0.927,,,ENSG00000076108
2240,ENSG00000076108.11,BAZ2A,chr12,-,56606246,56606395,56606246,56606312,56606632,56606733,2240,7,116,,,150,75,,,0.029,,,ENSG00000076108
2241,ENSG00000076108.11,BAZ2A,chr12,-,56609735,56609946,56609735,56609937,56610113,56610215,2241,61,0,,,84,75,,,1,,,ENSG00000076108
2242,ENSG00000076108.11,BAZ2A,chr12,-,56610408,56610539,56610408,56610517,56611572,56611633,2242,11,75,,,97,75,,,0.102,,,ENSG00000076108
2618,ENSG00000131626.16,PPFIA1,chr11,+,70372211,70372390,70372214,70372390,70362287,70362488,2618,4,60,,,78,75,,,0.06,,,ENSG00000131626
2619,ENSG00000131626.16,PPFIA1,chr11,+,70372211,70372390,70372214,70372390,70365940,70365967,2619,0,0,,,78,75,,,,,,ENSG00000131626
2982,ENSG00000018189.12,RUFY3,chr4,+,70793764,70793904,70793784,70793904,70789494,70789592,2982,13,11,,,95,75,,,0.483,,,ENSG00000018189
3231,ENSG00000143748.17,NVL,chr1,-,224313049,224313155,224313049,224313151,224317693,224317793,3231,0,0,,,79,75,,,,,,ENSG00000143748
3232,ENSG00000143748.17,NVL,chr1,-,224317693,224317793,224317693,224317786,224317877,224317930,3232,18,0,,,82,75,,,1,,,ENSG00000143748
3233,ENSG00000143748.17,NVL,chr1,-,224317877,224317930,224317877,224317925,224326390,224326464,3233,13,2,,,80,75,,,0.859,,,ENSG00000143748
4071,ENSG00000162819.11,BROX,chr1,+,222724091,222724164,222724099,222724164,222719262,222719359,4071,5,0,,,83,75,,,1,,,ENSG00000162819
