ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
133,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149608626,149608834,133,60,0,,,150,75,,,1,,,ENSG00000269556
134,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149631542,149631912,134,32,3,,,150,75,,,0.842,,,ENSG00000269556
135,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,135,66,2,,,150,75,,,0.943,,,ENSG00000269556
136,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149631542,149631912,136,31,1,,,150,75,,,0.939,,,ENSG00000269556
137,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149603986,149604070,149631542,149631698,137,38,1,,,150,75,,,0.95,,,ENSG00000269556
138,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,138,73,2,,,150,75,,,0.948,,,ENSG00000269556
870,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510063,26510281,26512098,26512175,870,10,0,,,150,75,,,1,,,ENSG00000100109
871,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510063,26510281,26512098,26512175,871,18,0,,,150,75,,,1,,,ENSG00000100109
872,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511153,26510616,26510702,26512098,26512175,872,0,8,,,110,75,,,0,,,ENSG00000100109
873,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510702,26512098,26512175,873,0,8,,,150,75,,,0,,,ENSG00000100109
874,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26510616,26510702,26512098,26512175,874,0,8,,,150,75,,,0,,,ENSG00000100109
898,ENSG00000100058.12,CRYBB2P1,chr22,+,25455711,25455840,25448104,25448284,25457258,25457401,898,42,1,,,150,75,,,0.955,,,ENSG00000100058
899,ENSG00000100058.12,CRYBB2P1,chr22,+,25519922,25520162,25459415,25459515,25520681,25520854,899,2,2,,,150,75,,,0.333,,,ENSG00000100058
1328,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742056,63741369,63741479,63742129,63742166,1328,524,3,,,150,75,,,0.989,,,ENSG00000125520
1554,ENSG00000101052.12,IFT52,chr20,+,43603759,43603889,43596434,43596522,43604182,43604258,1554,92,2,,,150,75,,,0.958,,,ENSG00000101052
1555,ENSG00000101052.12,IFT52,chr20,+,43604182,43604258,43596434,43596522,43605001,43605073,1555,69,0,,,150,75,,,1,,,ENSG00000101052
1556,ENSG00000101052.12,IFT52,chr20,+,43605001,43605073,43604182,43604258,43613849,43613976,1556,117,1,,,147,75,,,0.984,,,ENSG00000101052
1557,ENSG00000101052.12,IFT52,chr20,+,43605001,43605216,43604182,43604258,43613849,43613976,1557,63,1,,,150,75,,,0.969,,,ENSG00000101052
1558,ENSG00000101052.12,IFT52,chr20,+,43618242,43618353,43613898,43613976,43618939,43619026,1558,5,33,,,150,75,,,0.07,,,ENSG00000101052
1559,ENSG00000101052.12,IFT52,chr20,+,43618939,43619026,43613849,43613976,43620856,43620925,1559,83,2,,,150,75,,,0.954,,,ENSG00000101052
1560,ENSG00000101052.12,IFT52,chr20,+,43642478,43642624,43637144,43637253,43646935,43647222,1560,162,0,,,150,75,,,1,,,ENSG00000101052
1729,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33370498,33370629,33374114,33374212,1729,54,3,,,131,75,,,0.912,,,ENSG00000101391
1730,ENSG00000101391.20,CDK5RAP1,chr20,-,33372641,33372697,33370498,33370629,33379460,33379691,1730,32,1,,,131,75,,,0.948,,,ENSG00000101391
1731,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33370498,33370629,33379460,33379691,1731,29,1,,,150,75,,,0.935,,,ENSG00000101391
1732,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33370498,33370629,33385649,33385770,1732,3,0,,,150,75,,,1,,,ENSG00000101391
1733,ENSG00000101391.20,CDK5RAP1,chr20,-,33374114,33374212,33372641,33372697,33379460,33379691,1733,49,1,,,150,75,,,0.961,,,ENSG00000101391
1734,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33370498,33370629,33385649,33385770,1734,20,0,,,150,75,,,1,,,ENSG00000101391
1735,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33372641,33372697,33401427,33401478,1735,1,0,,,150,75,,,1,,,ENSG00000101391
1736,ENSG00000101391.20,CDK5RAP1,chr20,-,33379460,33379691,33374114,33374212,33385649,33385770,1736,45,0,,,150,75,,,1,,,ENSG00000101391
1737,ENSG00000101391.20,CDK5RAP1,chr20,-,33383479,33383521,33379460,33379691,33385649,33385770,1737,1,19,,,117,75,,,0.033,,,ENSG00000101391
1738,ENSG00000101391.20,CDK5RAP1,chr20,-,33387322,33387533,33385649,33385770,33392141,33392242,1738,43,0,,,150,75,,,1,,,ENSG00000101391
1739,ENSG00000101391.20,CDK5RAP1,chr20,-,33394031,33394066,33392141,33392242,33401427,33401479,1739,8,1,,,110,75,,,0.845,,,ENSG00000101391
1740,ENSG00000101391.20,CDK5RAP1,chr20,-,33395012,33395116,33394031,33394066,33401427,33401505,1740,16,0,,,150,75,,,1,,,ENSG00000101391
1741,ENSG00000101391.20,CDK5RAP1,chr20,-,33396760,33396936,33395012,33395116,33401427,33401517,1741,19,0,,,150,75,,,1,,,ENSG00000101391
1742,ENSG00000101391.20,CDK5RAP1,chr20,-,33396760,33397084,33395012,33395116,33401427,33401561,1742,32,0,,,150,75,,,1,,,ENSG00000101391
4392,ENSG00000105426.16,PTPRS,chr19,-,5216719,5216767,5215497,5215595,5218419,5218532,4392,54,44,,,123,75,,,0.428,,,ENSG00000105426
4393,ENSG00000105426.16,PTPRS,chr19,-,5229315,5229342,5225726,5225844,5229490,5229684,4393,0,21,,,102,75,,,0,,,ENSG00000105426
4394,ENSG00000105426.16,PTPRS,chr19,-,5256107,5256119,5245775,5246045,5258016,5258127,4394,0,17,,,87,75,,,0,,,ENSG00000105426
6143,ENSG00000213024.11,NUP62,chr19,-,49911104,49911343,49909854,49909884,49927693,49927815,6143,0,19,,,150,75,,,0,,,ENSG00000213024
6144,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49909580,49909884,49927693,49927815,6144,1,19,,,150,75,,,0.026,,,ENSG00000213024
6145,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49909580,49909884,49929325,49929504,6145,0,8,,,150,75,,,0,,,ENSG00000213024
6146,ENSG00000213024.11,NUP62,chr19,-,49911104,49911370,49909736,49909884,49929325,49929475,6146,0,8,,,150,75,,,0,,,ENSG00000213024
6147,ENSG00000213024.11,NUP62,chr19,-,49912898,49913159,49911060,49911366,49917607,49917641,6147,0,0,,,150,75,,,,,,ENSG00000213024
6148,ENSG00000213024.11,NUP62,chr19,-,49912898,49913159,49911060,49911366,49927693,49927815,6148,0,1,,,150,75,,,0,,,ENSG00000213024
6149,ENSG00000213024.11,NUP62,chr19,-,49918507,49918621,49909394,49909884,49927693,49927815,6149,0,19,,,150,75,,,0,,,ENSG00000213024
6150,ENSG00000213024.11,NUP62,chr19,-,49918507,49918621,49909394,49909884,49929416,49929504,6150,0,7,,,150,75,,,0,,,ENSG00000213024
6151,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49907542,49909884,49929325,49929429,6151,30,8,,,150,75,,,0.652,,,ENSG00000213024
6152,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49907542,49909884,49929416,49929504,6152,21,7,,,150,75,,,0.6,,,ENSG00000213024
6153,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49911104,49911366,49929325,49929429,6153,12,0,,,150,75,,,1,,,ENSG00000213024
6154,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49918507,49918621,49929349,49929763,6154,0,0,,,150,75,,,,,,ENSG00000213024
6155,ENSG00000213024.11,NUP62,chr19,-,49927693,49927815,49918507,49918621,49929416,49929504,6155,2,0,,,150,75,,,1,,,ENSG00000213024
6156,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49908104,49909884,49929325,49929435,6156,23,8,,,150,75,,,0.59,,,ENSG00000213024
6157,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49911104,49911366,49929325,49929435,6157,5,0,,,150,75,,,1,,,ENSG00000213024
6379,ENSG00000090905.18,TNRC6A,chr16,+,24778343,24778468,24777247,24777358,24789231,24791817,6379,1,14,,,150,75,,,0.034,,,ENSG00000090905
6380,ENSG00000090905.18,TNRC6A,chr16,+,24793472,24793649,24789231,24791817,24794543,24794719,6380,14,16,,,150,75,,,0.304,,,ENSG00000090905
6381,ENSG00000090905.18,TNRC6A,chr16,+,24795906,24795939,24794543,24794719,24797489,24797503,6381,42,1,,,108,75,,,0.967,,,ENSG00000090905
