ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
129,ENSG00000269556.7,TMEM185A,chrX,-,149603986,149604070,149600302,149600479,149608626,149608834,129,81,0,,,150,75,,,1,,,ENSG00000269556
130,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149603708,149604070,149611286,149611463,130,102,0,,,150,75,,,1,,,ENSG00000269556
131,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608829,149631542,149631698,131,34,1,,,150,75,,,0.944,,,ENSG00000269556
132,ENSG00000269556.7,TMEM185A,chrX,-,149611286,149611463,149608626,149608834,149631542,149631698,132,94,8,,,150,75,,,0.855,,,ENSG00000269556
923,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510667,26510063,26510281,26512098,26512175,923,32,0,,,126,75,,,1,,,ENSG00000100109
924,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510692,26510063,26510281,26512098,26512175,924,46,0,,,150,75,,,1,,,ENSG00000100109
925,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510063,26510281,26512098,26512175,925,66,0,,,150,75,,,1,,,ENSG00000100109
926,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511153,26510616,26510702,26512098,26512175,926,2,20,,,110,75,,,0.064,,,ENSG00000100109
927,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510667,26512098,26512175,927,2,3,,,150,75,,,0.25,,,ENSG00000100109
928,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26510616,26510702,26512098,26512175,928,7,20,,,150,75,,,0.149,,,ENSG00000100109
929,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26510616,26510702,26512098,26512175,929,7,20,,,150,75,,,0.149,,,ENSG00000100109
954,ENSG00000100058.12,CRYBB2P1,chr22,+,25519922,25520162,25459415,25459515,25520681,25520854,954,5,3,,,150,75,,,0.455,,,ENSG00000100058
1376,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742056,63741369,63741479,63742129,63742166,1376,446,1,,,150,75,,,0.996,,,ENSG00000125520
1625,ENSG00000101052.12,IFT52,chr20,+,43603759,43603889,43596434,43596522,43604182,43604258,1625,84,1,,,150,75,,,0.977,,,ENSG00000101052
1626,ENSG00000101052.12,IFT52,chr20,+,43604182,43604258,43596434,43596522,43605001,43605073,1626,75,0,,,150,75,,,1,,,ENSG00000101052
