ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
432,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,432,124,12,,,150,150,,,0.912,,,ENSG00000090905
553,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,553,32,56,,,150,150,,,0.364,,,ENSG00000108799
554,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,554,43,48,,,150,150,,,0.473,,,ENSG00000108799
917,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,917,5,0,,,150,105,,,1,,,ENSG00000131626
1030,ENSG00000018189.12,RUFY3,chr4,+,70800140,70800205,70802955,70802983,70794672,70794894,70804347,70804416,1030,26,14,,,140,103,,,0.577,,,ENSG00000018189
1031,ENSG00000018189.12,RUFY3,chr4,+,70800140,70800205,70802955,70802983,70799404,70799875,70804347,70804416,1031,16,14,,,140,103,,,0.457,,,ENSG00000018189
1156,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1156,1,0,,,150,150,,,1,,,ENSG00000143748
1580,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1580,27,40,,,133,147,,,0.427,,,ENSG00000116171
1581,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1581,48,37,,,147,150,,,0.57,,,ENSG00000116171
1582,ENSG00000116171.17,SCP2,chr1,+,52950754,52950886,52954739,52954804,52948008,52948080,52961502,52961629,1582,43,64,,,150,140,,,0.385,,,ENSG00000116171
1583,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1583,205,223,,,150,150,,,0.479,,,ENSG00000116171
2344,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2344,3,11,,,150,150,,,0.214,,,ENSG00000087903
2895,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,2895,5,4,,,150,111,,,0.481,,,ENSG00000095794
2946,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,2946,15,20,,,150,150,,,0.429,,,ENSG00000086848
3445,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3445,6,39,,,98,150,,,0.191,,,ENSG00000132256
