ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
30,ENSG00000269556.7,TMEM185A,chrX,-,149596556,149598255,149596556,149597182,149597260,149598255,30,4,0,,,150,75,,,1,,,ENSG00000269556
196,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742230,63741868,63742056,63742129,63742230,196,3,167,,,148,75,,,0.009,,,ENSG00000125520
703,ENSG00000105426.16,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,703,7,4,,,150,75,,,0.467,,,ENSG00000105426
970,ENSG00000213024.11,NUP62,chr19,-,49908104,49909884,49908104,49908745,49908973,49909884,970,98,7,,,150,75,,,0.875,,,ENSG00000213024
971,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929325,49929504,971,110,13,,,150,75,,,0.809,,,ENSG00000213024
972,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929325,49929504,972,108,5,,,150,75,,,0.915,,,ENSG00000213024
973,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929416,49929504,973,53,4,,,150,75,,,0.869,,,ENSG00000213024
1037,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805604,24805733,1037,1,47,,,150,75,,,0.011,,,ENSG00000090905
1038,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805673,24805733,1038,56,8,,,150,75,,,0.778,,,ENSG00000090905
1118,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668487,668569,1118,12,50,,,150,75,,,0.107,,,ENSG00000140983
1119,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668655,668699,1119,12,5,,,150,75,,,0.545,,,ENSG00000140983
1120,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668569,668655,668699,1120,14,86,,,150,75,,,0.075,,,ENSG00000140983
1121,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668658,668699,1121,16,4,,,150,75,,,0.667,,,ENSG00000140983
1122,ENSG00000140983.13,RHOT2,chr16,+,668655,670175,668655,668699,670122,670175,1122,10,7,,,150,75,,,0.417,,,ENSG00000140983
1123,ENSG00000140983.13,RHOT2,chr16,+,669552,670175,669552,669606,670122,670175,1123,12,74,,,150,75,,,0.075,,,ENSG00000140983
1124,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670248,670357,1124,1,62,,,148,75,,,0.008,,,ENSG00000140983
1125,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670265,670357,1125,17,9,,,150,75,,,0.486,,,ENSG00000140983
1126,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671082,671203,1126,56,55,,,150,75,,,0.337,,,ENSG00000140983
1127,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671114,671203,1127,84,10,,,150,75,,,0.808,,,ENSG00000140983
1128,ENSG00000140983.13,RHOT2,chr16,+,671859,672181,671859,672002,672083,672181,1128,3,116,,,150,75,,,0.013,,,ENSG00000140983
1129,ENSG00000140983.13,RHOT2,chr16,+,672253,672566,672253,672384,672488,672566,1129,8,74,,,150,75,,,0.051,,,ENSG00000140983
1130,ENSG00000140983.13,RHOT2,chr16,+,672253,672825,672253,672566,672702,672825,1130,9,67,,,150,75,,,0.063,,,ENSG00000140983
1670,ENSG00000076108.11,BAZ2A,chr12,-,56604584,56605327,56604584,56604799,56605072,56605327,1670,10,41,,,150,75,,,0.109,,,ENSG00000076108
1671,ENSG00000076108.11,BAZ2A,chr12,-,56615013,56615607,56615013,56615128,56615218,56615607,1671,70,3,,,150,75,,,0.921,,,ENSG00000076108
3135,ENSG00000164692.17,COL1A2,chr7,+,94426422,94427061,94426422,94426530,94427007,94427061,3135,3,60,,,150,75,,,0.024,,,ENSG00000164692
3136,ENSG00000164692.17,COL1A2,chr7,+,94427187,94427885,94427187,94427295,94427626,94427885,3136,4,71,,,150,75,,,0.027,,,ENSG00000164692
3161,ENSG00000076944.15,STXBP2,chr19,+,7642428,7642823,7642428,7642536,7642765,7642823,3161,0,4,,,150,75,,,0,,,ENSG00000076944
3162,ENSG00000076944.15,STXBP2,chr19,+,7647161,7647511,7647161,7647247,7647353,7647511,3162,4,8,,,150,75,,,0.2,,,ENSG00000076944
3543,ENSG00000158286.12,RNF207,chr1,+,6209267,6209539,6209267,6209343,6209413,6209539,3543,0,2,,,145,75,,,0,,,ENSG00000158286
3544,ENSG00000158286.12,RNF207,chr1,+,6212681,6213183,6212681,6212733,6213065,6213183,3544,0,1,,,150,75,,,0,,,ENSG00000158286
3922,ENSG00000117632.22,STMN1,chr1,-,25901490,25903813,25901490,25901682,25903640,25903813,3922,0,53,,,150,75,,,0,,,ENSG00000117632
3970,ENSG00000135829.16,DHX9,chr1,+,182883138,182883368,182883138,182883216,182883319,182883368,3970,193,0,,,150,75,,,1,,,ENSG00000135829
4026,ENSG00000026950.16,BTN3A1,chr6,+,26409893,26410032,26409893,26409914,26410005,26410032,4026,1,2,,,150,75,,,0.2,,,ENSG00000026950
4522,ENSG00000111801.15,BTN3A3,chr6,+,26443956,26445985,26443956,26444304,26445703,26445985,4522,1,2,,,150,75,,,0.2,,,ENSG00000111801
4523,ENSG00000111801.15,BTN3A3,chr6,+,26448247,26448754,26448247,26448448,26448727,26448754,4523,2,0,,,150,75,,,1,,,ENSG00000111801
5000,ENSG00000140553.17,UNC45A,chr15,+,90935945,90936460,90935945,90935982,90936136,90936460,5000,1,2,,,150,75,,,0.2,,,ENSG00000140553
5001,ENSG00000140553.17,UNC45A,chr15,+,90935945,90936460,90935945,90935982,90936284,90936460,5001,2,11,,,150,75,,,0.083,,,ENSG00000140553
5002,ENSG00000140553.17,UNC45A,chr15,+,90948141,90948794,90948141,90948283,90948653,90948794,5002,5,17,,,150,75,,,0.128,,,ENSG00000140553
5003,ENSG00000140553.17,UNC45A,chr15,+,90949653,90950267,90949653,90949720,90950153,90950267,5003,0,26,,,150,75,,,0,,,ENSG00000140553
