ID,GeneID,geneSymbol,chr,strand,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
465,ENSG00000090905.18,TNRC6A,chr16,+,24815146,24815305,24815354,24815475,24809349,24809481,24816815,24816956,465,129,3,,,150,150,,,0.977,,,ENSG00000090905
593,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42724304,42724424,42720272,42720449,42727634,42727763,593,48,94,,,150,150,,,0.338,,,ENSG00000108799
594,ENSG00000108799.12,EZH1,chr17,-,42722794,42722915,42727634,42727763,42720272,42720449,42728824,42728952,594,60,90,,,150,150,,,0.4,,,ENSG00000108799
978,ENSG00000131626.16,PPFIA1,chr11,+,70349922,70350039,70350993,70351023,70348188,70348420,70354300,70354452,978,4,1,,,150,105,,,0.737,,,ENSG00000131626
1128,ENSG00000018189.12,RUFY3,chr4,+,70800140,70800205,70802955,70802983,70794672,70794894,70804347,70804416,1128,55,40,,,140,103,,,0.503,,,ENSG00000018189
1129,ENSG00000018189.12,RUFY3,chr4,+,70800140,70800205,70802955,70802983,70799404,70799875,70804347,70804416,1129,10,35,,,140,103,,,0.174,,,ENSG00000018189
1271,ENSG00000143748.17,NVL,chr1,-,224232088,224232182,224232894,224232972,224231225,224231296,224233200,224233289,1271,3,10,,,150,150,,,0.231,,,ENSG00000143748
1720,ENSG00000116171.17,SCP2,chr1,+,52941795,52941853,52948008,52948080,52927285,52927465,52950754,52950886,1720,50,57,,,133,147,,,0.492,,,ENSG00000116171
1721,ENSG00000116171.17,SCP2,chr1,+,52948008,52948080,52950754,52950886,52941795,52941853,52954739,52954804,1721,83,74,,,147,150,,,0.534,,,ENSG00000116171
1722,ENSG00000116171.17,SCP2,chr1,+,53027968,53028071,53038916,53039046,53014965,53015043,53047857,53047937,1722,177,184,,,150,150,,,0.49,,,ENSG00000116171
1953,ENSG00000085832.16,EPS15,chr1,-,51405904,51406108,51408134,51408332,51403418,51403532,51409534,51409696,1953,92,79,,,150,150,,,0.538,,,ENSG00000085832
2510,ENSG00000087903.12,RFX2,chr19,-,6042043,6042123,6044192,6044282,6039979,6040241,6047406,6047504,2510,15,14,,,150,150,,,0.517,,,ENSG00000087903
2795,ENSG00000111801.15,BTN3A3,chr6,+,26448247,26448448,26448616,26448637,26445703,26445985,26448727,26448754,2795,11,1,,,150,96,,,0.876,,,ENSG00000111801
3071,ENSG00000095794.19,CREM,chr10,+,35188199,35188388,35201450,35201486,35179133,35179276,35206894,35207051,3071,11,1,,,150,111,,,0.891,,,ENSG00000095794
3114,ENSG00000140553.17,UNC45A,chr15,+,90944891,90945063,90946613,90946914,90942911,90943082,90947795,90947890,3114,115,107,,,150,150,,,0.518,,,ENSG00000140553
3144,ENSG00000086848.14,ALG9,chr11,-,111853648,111853736,111857601,111857737,111853379,111853485,111860546,111860635,3144,27,48,,,150,150,,,0.36,,,ENSG00000086848
3674,ENSG00000132256.18,TRIM5,chr11,-,5665980,5666081,5667688,5667711,5665655,5665682,5678203,5678434,3674,5,12,,,98,150,,,0.389,,,ENSG00000132256
