ID,GeneID,geneSymbol,chr,strand,riExonStart_0base,riExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
30,ENSG00000269556.7,TMEM185A,chrX,-,149596556,149598255,149596556,149597182,149597260,149598255,30,30,1,,,150,75,,,0.938,,,ENSG00000269556
196,ENSG00000125520.13,SLC2A4RG,chr20,+,63741868,63742230,63741868,63742056,63742129,63742230,196,10,262,,,148,75,,,0.019,,,ENSG00000125520
704,ENSG00000105426.16,PTPRS,chr19,-,5218419,5219467,5218419,5218532,5219309,5219467,704,76,8,,,150,75,,,0.826,,,ENSG00000105426
975,ENSG00000213024.11,NUP62,chr19,-,49908104,49909884,49908104,49908745,49908973,49909884,975,86,4,,,150,75,,,0.915,,,ENSG00000213024
976,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929325,49929504,976,85,7,,,150,75,,,0.859,,,ENSG00000213024
977,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927848,49929325,49929504,977,79,10,,,150,75,,,0.798,,,ENSG00000213024
978,ENSG00000213024.11,NUP62,chr19,-,49927693,49929504,49927693,49927815,49929416,49929504,978,54,3,,,150,75,,,0.9,,,ENSG00000213024
1042,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805604,24805733,1042,5,49,,,150,75,,,0.049,,,ENSG00000090905
1043,ENSG00000090905.18,TNRC6A,chr16,+,24805013,24805733,24805013,24805151,24805673,24805733,1043,50,6,,,150,75,,,0.806,,,ENSG00000090905
1122,ENSG00000140983.13,RHOT2,chr16,+,668352,668569,668352,668411,668487,668569,1122,27,108,,,150,75,,,0.111,,,ENSG00000140983
1123,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668655,668699,1123,40,1,,,150,75,,,0.952,,,ENSG00000140983
1124,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668569,668655,668699,1124,51,167,,,150,75,,,0.132,,,ENSG00000140983
1125,ENSG00000140983.13,RHOT2,chr16,+,668352,668699,668352,668411,668658,668699,1125,47,9,,,150,75,,,0.723,,,ENSG00000140983
1126,ENSG00000140983.13,RHOT2,chr16,+,668655,670175,668655,668699,670122,670175,1126,77,17,,,150,75,,,0.694,,,ENSG00000140983
1127,ENSG00000140983.13,RHOT2,chr16,+,669552,670175,669552,669606,670122,670175,1127,96,120,,,150,75,,,0.286,,,ENSG00000140983
1128,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670248,670357,1128,26,137,,,148,75,,,0.088,,,ENSG00000140983
1129,ENSG00000140983.13,RHOT2,chr16,+,670122,670357,670122,670175,670265,670357,1129,59,32,,,150,75,,,0.48,,,ENSG00000140983
1130,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671082,671203,1130,198,65,,,150,75,,,0.604,,,ENSG00000140983
1131,ENSG00000140983.13,RHOT2,chr16,+,670891,671203,670891,671000,671114,671203,1131,233,9,,,150,75,,,0.928,,,ENSG00000140983
1132,ENSG00000140983.13,RHOT2,chr16,+,671859,672181,671859,672002,672083,672181,1132,9,251,,,150,75,,,0.018,,,ENSG00000140983
1133,ENSG00000140983.13,RHOT2,chr16,+,672253,672566,672253,672384,672488,672566,1133,58,196,,,150,75,,,0.129,,,ENSG00000140983
1134,ENSG00000140983.13,RHOT2,chr16,+,672253,672825,672253,672566,672702,672825,1134,31,196,,,150,75,,,0.073,,,ENSG00000140983
1677,ENSG00000076108.11,BAZ2A,chr12,-,56604584,56605327,56604584,56604799,56605072,56605327,1677,125,72,,,150,75,,,0.465,,,ENSG00000076108
