ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
25,ENSG00000269556.7,TMEM185A,chrX,-,149608626,149608834,149608626,149608829,149611286,149611463,25,69,13,,,80,75,,,0.833,,,ENSG00000269556
159,ENSG00000100109.16,TFIP11,chr22,-,26501899,26502094,26501899,26502052,26503665,26503793,159,0,14,,,117,75,,,0,,,ENSG00000100109
160,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510667,26511118,26511195,160,36,0,,,110,75,,,1,,,ENSG00000100109
161,ENSG00000100109.16,TFIP11,chr22,-,26510616,26510702,26510616,26510692,26512098,26512175,161,40,0,,,85,75,,,1,,,ENSG00000100109
162,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511195,26511118,26511153,26512098,26512175,162,4,0,,,117,75,,,1,,,ENSG00000100109
163,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511153,26512098,26512175,163,4,0,,,150,75,,,1,,,ENSG00000100109
164,ENSG00000100109.16,TFIP11,chr22,-,26511118,26511317,26511118,26511195,26512098,26512175,164,26,0,,,150,75,,,1,,,ENSG00000100109
322,ENSG00000101391.20,CDK5RAP1,chr20,-,33366858,33367008,33366858,33367005,33370498,33370629,322,70,0,,,78,75,,,1,,,ENSG00000101391
1253,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911343,49927693,49927815,1253,0,0,,,98,75,,,,,,ENSG00000213024
1254,ENSG00000213024.11,NUP62,chr19,-,49911104,49911366,49911104,49911231,49927693,49927848,1254,0,0,,,150,75,,,,,,ENSG00000213024
1255,ENSG00000213024.11,NUP62,chr19,-,49927693,49927848,49927693,49927815,49929325,49929465,1255,5,9,,,108,75,,,0.278,,,ENSG00000213024
1305,ENSG00000090905.18,TNRC6A,chr16,+,24805604,24805733,24805673,24805733,24805013,24805151,1305,82,14,,,144,75,,,0.753,,,ENSG00000090905
1390,ENSG00000140983.13,RHOT2,chr16,+,668352,668411,668357,668411,668150,668236,1390,55,2,,,80,75,,,0.963,,,ENSG00000140983
1391,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668655,668699,668352,668411,1391,87,0,,,150,75,,,1,,,ENSG00000140983
1392,ENSG00000140983.13,RHOT2,chr16,+,668487,668699,668658,668699,668352,668411,1392,87,0,,,150,75,,,1,,,ENSG00000140983
1393,ENSG00000140983.13,RHOT2,chr16,+,668655,668699,668658,668699,668352,668411,1393,0,0,,,78,75,,,,,,ENSG00000140983
1394,ENSG00000140983.13,RHOT2,chr16,+,670248,670357,670265,670357,670122,670175,1394,185,10,,,92,75,,,0.938,,,ENSG00000140983
1395,ENSG00000140983.13,RHOT2,chr16,+,670888,671000,670891,671000,670674,670773,1395,16,108,,,78,75,,,0.125,,,ENSG00000140983
1396,ENSG00000140983.13,RHOT2,chr16,+,671082,671203,671114,671203,670891,671000,1396,105,4,,,107,75,,,0.948,,,ENSG00000140983
1602,ENSG00000103994.16,ZNF106,chr15,-,42439032,42439813,42439032,42439552,42442072,42442414,1602,32,1,,,150,75,,,0.941,,,ENSG00000103994
1669,ENSG00000108799.12,EZH1,chr17,-,42706006,42706185,42706006,42706113,42707957,42708083,1669,120,0,,,147,75,,,1,,,ENSG00000108799
2165,ENSG00000076108.11,BAZ2A,chr12,-,56600942,56601098,56600942,56601086,56601179,56601402,2165,101,0,,,87,75,,,1,,,ENSG00000076108
2166,ENSG00000076108.11,BAZ2A,chr12,-,56606246,56606395,56606246,56606312,56606632,56606733,2166,12,134,,,150,75,,,0.043,,,ENSG00000076108
2167,ENSG00000076108.11,BAZ2A,chr12,-,56609735,56609946,56609735,56609937,56610113,56610215,2167,73,0,,,84,75,,,1,,,ENSG00000076108
2168,ENSG00000076108.11,BAZ2A,chr12,-,56610408,56610539,56610408,56610517,56611572,56611633,2168,0,13,,,97,75,,,0,,,ENSG00000076108
2533,ENSG00000131626.16,PPFIA1,chr11,+,70372211,70372390,70372214,70372390,70365940,70365967,2533,0,0,,,78,75,,,,,,ENSG00000131626
2880,ENSG00000018189.12,RUFY3,chr4,+,70793764,70793904,70793784,70793904,70789494,70789592,2880,28,36,,,95,75,,,0.38,,,ENSG00000018189
3124,ENSG00000143748.17,NVL,chr1,-,224313049,224313155,224313049,224313151,224317693,224317793,3124,0,4,,,79,75,,,0,,,ENSG00000143748
3125,ENSG00000143748.17,NVL,chr1,-,224317693,224317793,224317693,224317786,224317877,224317930,3125,25,0,,,82,75,,,1,,,ENSG00000143748
3126,ENSG00000143748.17,NVL,chr1,-,224317877,224317930,224317877,224317925,224326390,224326464,3126,15,0,,,80,75,,,1,,,ENSG00000143748
3926,ENSG00000162819.11,BROX,chr1,+,222724091,222724164,222724099,222724164,222719262,222719359,3926,0,0,,,83,75,,,,,,ENSG00000162819
4308,ENSG00000076944.15,STXBP2,chr19,+,7640697,7640809,7640730,7640809,7639730,7639807,4308,0,64,,,108,75,,,0,,,ENSG00000076944
4309,ENSG00000076944.15,STXBP2,chr19,+,7640697,7640809,7640739,7640809,7639730,7639807,4309,8,0,,,117,75,,,1,,,ENSG00000076944
4310,ENSG00000076944.15,STXBP2,chr19,+,7640730,7640809,7640739,7640809,7639730,7639807,4310,72,0,,,84,75,,,1,,,ENSG00000076944
4311,ENSG00000076944.15,STXBP2,chr19,+,7646171,7646344,7646248,7646344,7645196,7645306,4311,6,149,,,150,75,,,0.02,,,ENSG00000076944
4924,ENSG00000158286.12,RNF207,chr1,+,6211866,6212053,6211922,6212053,6211020,6211118,4924,16,0,,,131,75,,,1,,,ENSG00000158286
4925,ENSG00000158286.12,RNF207,chr1,+,6212217,6212416,6212230,6212416,6211866,6212053,4925,0,18,,,88,75,,,0,,,ENSG00000158286
5188,ENSG00000085788.13,DDHD2,chr8,+,38234393,38234584,38234399,38234584,38232986,38233214,5188,33,0,,,81,75,,,1,,,ENSG00000085788
5189,ENSG00000085788.13,DDHD2,chr8,+,38252721,38252824,38252741,38252824,38252131,38252287,5189,113,0,,,95,75,,,1,,,ENSG00000085788
5578,ENSG00000026950.16,BTN3A1,chr6,+,26405371,26405648,26405541,26405648,26402236,26402412,5578,45,0,,,150,75,,,1,,,ENSG00000026950
5579,ENSG00000026950.16,BTN3A1,chr6,+,26405371,26405648,26405503,26405648,26402249,26402412,5579,37,0,,,150,75,,,1,,,ENSG00000026950
5580,ENSG00000026950.16,BTN3A1,chr6,+,26407670,26407952,26407826,26407952,26405908,26406256,5580,53,3,,,150,75,,,0.898,,,ENSG00000026950
5581,ENSG00000026950.16,BTN3A1,chr6,+,26409893,26410032,26410005,26410032,26409532,26409733,5581,58,19,,,150,75,,,0.604,,,ENSG00000026950
6304,ENSG00000111801.15,BTN3A3,chr6,+,26443366,26443442,26443381,26443442,26440471,26440648,6304,0,0,,,90,75,,,,,,ENSG00000111801
6305,ENSG00000111801.15,BTN3A3,chr6,+,26443569,26443659,26443640,26443659,26443381,26443442,6305,28,0,,,146,75,,,1,,,ENSG00000111801
6306,ENSG00000111801.15,BTN3A3,chr6,+,26443956,26444304,26444010,26444304,26443569,26443659,6306,0,0,,,129,75,,,,,,ENSG00000111801
6919,ENSG00000095794.19,CREM,chr10,+,35178871,35178986,35178888,35178986,35148367,35148491,6919,0,13,,,92,75,,,0,,,ENSG00000095794
